supplierId,orderDate,supplyDate,deliveringMethod,supplyMethod,contactName,phone,address,email,totalPrice,products
2,26/03/2025,28/03/2025,SELF_DELIVERING,SCHEDULED,John,0521112233,Haifa,john@example.com,349.33,5:9;20:9;19:10
5,18/04/2025,25/04/2025,SELF_DELIVERING,SCHEDULED,Sara,0507654321,Jerusalem,sara@example.com,148.59,14:9;15:2;13:10
1,23/04/2025,02/05/2025,PICK_UP,SCHEDULED,John,0521112233,Haifa,john@example.com,396.03,7:3;2:3;7:8
4,31/03/2025,08/04/2025,SELF_DELIVERING,ON_DEMAND,Sara,0507654321,Jerusalem,sara@example.com,420.18,15:10;11:4
3,28/03/2025,07/04/2025,SELF_DELIVERING,ON_DEMAND,Noa,0549988776,Beer Sheva,noa@example.com,393.31,14:5;15:9
5,23/04/2025,30/04/2025,PICK_UP,SCHEDULED,John,0521112233,Haifa,john@example.com,378.6,16:7;11:9;18:10
4,13/04/2025,22/04/2025,SELF_DELIVERING,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,102.73,7:7;9:9
2,21/04/2025,26/04/2025,SELF_DELIVERING,SCHEDULED,Sara,0507654321,Jerusalem,sara@example.com,439.91,16:5;17:4;14:3;3:1
1,26/03/2025,30/03/2025,PICK_UP,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,357.35,1:2;4:5;13:7
3,21/04/2025,22/04/2025,SELF_DELIVERING,ON_DEMAND,John,0521112233,Haifa,john@example.com,443.12,11:4;8:8
5,30/03/2025,01/04/2025,PICK_UP,ON_DEMAND,Sara,0507654321,Jerusalem,sara@example.com,250.37,5:2;16:8;13:9;18:2
1,31/03/2025,02/04/2025,SELF_DELIVERING,ON_DEMAND,Noa,0549988776,Beer Sheva,noa@example.com,383.24,3:9;19:4
4,19/04/2025,28/04/2025,SELF_DELIVERING,ON_DEMAND,John,0521112233,Haifa,john@example.com,95.64,4:7;19:6;2:6;12:9
4,17/04/2025,23/04/2025,SELF_DELIVERING,SCHEDULED,Sara,0507654321,Jerusalem,sara@example.com,106.5,17:2;5:9;13:1;6:9
3,03/04/2025,08/04/2025,SELF_DELIVERING,SCHEDULED,John,0521112233,Haifa,john@example.com,430.4,3:10;4:7;20:4;20:2
4,24/04/2025,30/04/2025,PICK_UP,ON_DEMAND,Liam,0533455667,Eilat,liam@example.com,160.85,18:4;8:1;20:10
1,08/04/2025,13/04/2025,PICK_UP,ON_DEMAND,Sara,0507654321,Jerusalem,sara@example.com,316.92,4:4;4:2
4,03/04/2025,09/04/2025,PICK_UP,SCHEDULED,Sara,0507654321,Jerusalem,sara@example.com,135.94,1:4;6:10;11:7;3:3
4,04/04/2025,09/04/2025,PICK_UP,SCHEDULED,Sara,0507654321,Jerusalem,sara@example.com,267.59,20:7;2:4;6:4;14:2
2,05/04/2025,13/04/2025,PICK_UP,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,88.46,7:2;14:10;5:2
3,22/04/2025,01/05/2025,PICK_UP,SCHEDULED,John,0521112233,Haifa,john@example.com,82.59,6:5;8:5;6:9
3,29/03/2025,05/04/2025,SELF_DELIVERING,ON_DEMAND,Liam,0533455667,Eilat,liam@example.com,492.02,2:8;13:5;17:3
4,20/04/2025,24/04/2025,SELF_DELIVERING,ON_DEMAND,John,0521112233,Haifa,john@example.com,259.32,6:8;14:3;14:3
4,01/04/2025,03/04/2025,PICK_UP,SCHEDULED,Liam,0533455667,Eilat,liam@example.com,432.66,16:8;3:3
2,09/04/2025,15/04/2025,PICK_UP,SCHEDULED,Liam,0533455667,Eilat,liam@example.com,191.19,14:9;18:10;1:8
3,02/04/2025,09/04/2025,SELF_DELIVERING,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,59.22,17:10;17:6
